PL_score1,PL_score2,PL_score3,PL_score4,PL_score5,PL_score6,PL_score7,PL_score8
1,49.33086844,49.32274114,49.32795364,49.33143923,49.92521738,1380.706403,106.8574523
2,49.88728406,49.30234222,49.97729199,49.33143923,49.3204444,49.34150602,49.34595722
3,50.68280896,49.70690652,49.55532769,49.33143923,49.34500789,49.34193756,49.34727983
4,238.9716034,109.2950386,239.9108314,49.33143923,49.3309034,88.49856454,49.34545803
5,207.1026449,68.13197756,50.02947268,49.33143923,49.30194947,49.34770635,49.62311639
6,151.3552736,50.40861783,49.32656106,49.33143923,152.6180098,200.7512633,1355.742963
7,50.04302064,50.35627906,49.93885709,49.33143923,159.0108454,58.65094739,239.2993724
8,49.34855234,49.65674277,49.34417967,49.33143923,49.31754419,49.25905639,49.90056124
9,49.34924028,49.31219437,49.34528501,49.33143923,49.18949449,107.9484323,124.7266435
10,49.34928406,49.46391346,49.25998016,49.33143923,49.33653215,49.33187787,49.33369729
11,49.31610095,49.71742498,49.33799668,49.33143923,49.34194026,49.34009511,49.32884735
12,49.34306937,49.46352107,49.33850446,49.33143923,49.34825249,49.10438407,74.34780022
13,49.23666905,49.34737849,49.37435742,49.33143869,49.33282342,49.34771079,49.33271739
14,159.4818292,201.245375,118.6243303,49.33143923,49.81139634,49.8376623,50.25811361
15,50.00035945,49.34582381,49.40816426,49.33143923,49.22586505,49.34816509,49.34593569
16,152.701024,1411.106276,245.1463566,49.33143923,49.34286745,49.27161708,49.98273795
17,49.34393608,49.32942446,49.30229611,49.33143923,49.50360841,50.14233146,49.34119467
18,48.96699681,49.32945531,49.31887179,49.33143923,229.213625,62.78469693,1411.532929
19,108.8844708,182.5525207,107.8366212,49.33143923,154.1608949,69.90442375,57.17380374
20,59.79758241,58.82611918,49.62520553,49.33126953,111.3955661,92.51310924,124.9223173
21,107.4759444,64.85647215,198.2928762,49.33143923,106.7473375,122.2538524,60.02967471
22,150.3251588,159.5467085,92.8335324,49.33143923,49.4474942,49.78975737,49.30948196
23,50.01798636,49.32476821,49.3447183,49.33143923,79.96323068,157.3399675,1444.913907
24,77.00977927,238.5844062,104.9072267,49.33143923,49.34087515,49.34678921,49.34640467
