PL_score1,PL_score2,PL_score3,PL_score4,PL_score5,PL_score6,PL_score7,PL_score8
1,42.72534168,35.20041749,35.46569666,35.59497886,35.47337819,35.37869852,35.44995871
2,35.47377532,35.23527035,35.25987743,35.5700065,35.50141152,35.54064731,35.32289385
3,35.23471175,35.27087706,35.54761928,35.47355093,35.61457746,35.46035449,35.52050988
4,158.3112223,45.58883991,1294.62421,35.43954299,1312.276074,67.71257432,67.76340972
5,114.6538538,61.74588145,35.51818163,35.55229322,35.49998083,35.17859156,35.30664189
6,32.93606789,33.28433958,35.594797,35.57847987,35.39435042,35.5809077,35.40777119
7,33.4345502,29.16407838,33.47162003,35.47040825,1303.77813,161.1400091,159.1368845
8,35.42468663,35.72527064,36.14669834,35.59803058,35.47680622,35.24719195,35.17845213
9,35.52158245,35.51760565,35.51533821,35.57069427,46.43616318,1284.379178,123.2450776
10,35.46621557,30.0489917,35.37962132,35.5660511,35.10475258,35.44354503,35.46953416
11,35.75084317,46.45777765,35.45142474,35.59295894,35.43520049,35.53876196,35.34878645
12,35.17498591,35.12905851,35.58190131,35.58775201,35.65080824,35.37786879,35.75922964
13,35.4783265,35.41317819,35.4792588,35.39204587,35.49043312,35.24458909,35.43826037
14,35.71441267,35.46185839,35.57535673,35.4934008,35.33624658,35.43501858,35.4472333
15,35.19395173,35.43660841,35.446489,35.61315719,35.36528122,35.82970983,35.27632657
16,35.53055538,35.30739213,35.24304981,35.60034963,35.4499027,35.30937031,35.31465103
17,35.24685934,35.2995848,34.94008911,35.58635927,35.4909418,35.5136159,35.51097257
18,35.51892443,30.43789361,35.51230604,35.56483542,158.795436,35.33260444,37.20281794
19,69.61556716,1312.211667,35.13320837,35.56863978,35.33900788,35.14282435,85.31464416
20,34.77123711,36.03627054,35.56209243,35.55355914,1290.368336,160.8394851,1316.294333
21,36.39527609,35.4471766,35.36213158,35.52322891,160.968926,71.84133122,75.33457456
22,37.30199307,65.83638101,31.65333225,35.57937865,35.26534422,35.23567026,35.26137243
23,31.04520059,30.1615023,69.53143405,35.59454344,35.52525085,35.59086595,35.59579047
24,85.53204356,83.9598373,33.88974818,35.57753945,80.32128928,85.36055429,37.16022327
25,28.5247678,1291.75798,35.18055532,35.49141652,80.77406085,45.84186022,30.32791933
26,35.56115245,35.54196878,35.49841115,35.32777518,35.57663848,80.1593616,35.54613481
27,35.45349595,35.39638514,35.40632027,35.47972144,35.5742915,35.53494237,35.36456739
28,35.45901587,35.4421034,35.55488107,35.5309027,35.45257109,35.49624666,35.15635381
29,35.53026873,35.46657587,35.44492959,35.58189678,35.5294318,35.49945056,35.55717723
30,51.01510703,118.7159853,85.66507684,35.53309838,80.22038809,88.24112109,1292.021362
31,35.56661255,35.45998738,35.46215292,35.53690479,35.50730252,35.92272374,35.41702487
32,35.52814422,35.53800488,35.34863448,35.42191596,35.52366895,35.7200303,37.94947276
33,76.69895456,45.89015524,40.09651056,35.5211173,35.34525471,35.46832904,35.26045096
34,28.63729277,48.37341259,147.6093062,35.47074575,32.42934111,30.697412,37.16242744
35,35.33089862,35.29398212,35.31238526,35.56593914,35.422543,66.94395595,87.87293497
36,35.5927143,35.54824755,35.42148898,35.3981277,35.61412716,38.35249362,50.54708838
37,35.56737374,35.40725015,35.50634204,35.45242742,35.4297839,35.33072108,45.04013455
38,1289.973683,70.71971803,159.7301437,35.43387571,35.37620588,35.59696378,35.58152211
39,35.1665412,35.50304727,35.24133732,35.46169978,35.47889639,35.24871591,35.6615614
40,30.44557686,35.25774873,35.8710648,35.51859041,35.37461533,34.6775943,35.47185902
41,35.53308031,35.54455508,35.4845272,35.3400366,35.56701219,35.5660913,35.31177571
42,35.2292256,35.24520406,35.59849926,35.32927368,35.31697109,35.34349534,35.33323002
43,44.94503602,86.38930375,73.49553682,35.48823641,35.4374472,35.43221987,35.40509157
44,35.278697,35.3356913,35.388634,35.49077168,35.66610688,36.7968811,39.82820338
45,35.56001315,35.24760937,36.84044244,35.60291195,35.29376545,71.84423159,60.63462753
46,36.20732011,162.1092209,30.37136521,35.58619956,35.35072858,35.27685903,35.39018457
47,30.62166204,35.36001099,1304.456082,35.47076837,35.58448546,35.24575444,35.15016823
48,35.30071096,35.67262694,160.7276157,35.52185168,35.60637319,71.80167607,42.51231188
49,30.40409889,30.50150861,35.58718087,35.57492341,36.31487269,36.72254391,35.26166598
50,40.98866696,40.71848057,1293.499972,35.16065362,35.21157905,35.29878326,35.36243349
51,30.59723493,63.78028685,35.40049557,35.49728804,35.57790916,35.80965855,45.33611389
52,90.91876272,160.3957775,35.7363499,35.50615429,35.32830903,35.33474275,35.49515411
53,74.46324611,84.24549488,37.11940454,35.51717807,81.93271551,35.36514111,35.37260188
54,52.99470751,1296.036669,35.53760024,35.46574805,35.43945244,35.56760114,35.49631812
55,120.5331313,36.28928276,78.19346953,35.58913857,35.37957316,35.39168486,35.61415685
56,160.9489945,1291.261441,163.6797934,35.58745911,35.45433696,35.74568296,35.18968195
57,35.47333776,35.55416337,35.57024977,35.51270624,35.56489458,35.57075864,35.34452711
58,35.58523094,35.52219368,35.32452914,35.60074712,35.56520487,35.86158169,37.75259689
59,35.19192651,34.67090159,35.33404814,35.54613671,35.13030893,35.55971965,35.20346168
60,35.42844967,1292.754139,35.45190818,35.50789293,35.35371056,35.54373468,35.3583257
61,35.42322359,35.44726479,35.17175547,35.55537923,35.35286475,35.29086027,35.57397497
62,35.4297748,35.59976326,35.57789837,35.50336647,35.34999482,35.55415063,35.50185111
63,35.33672066,35.56960528,35.56981354,35.5620993,35.51425182,35.4492866,35.48571845
