PL_score1,PL_score2,PL_score3,PL_score4,PL_score5,PL_score6,PL_score7,PL_score8
39,1364.62102685573,1364.61093438641,1364.46085813468,1364.6222109663,1364.60902053419,1358.59519174152,1364.73442264625
40,1364.60221012633,1364.7092868485,1359.90526978937,1364.71063442989,1422.58981211423,1357.89149500555,1380.53753082846
41,1359.93510616354,1361.83561763587,1357.71708923873,1364.20943649757,1364.66147104383,1359.98251764019,1359.78595918219
42,1223.71319810644,1358.09884725432,1362.06058166395,1364.55799973176,1364.63194604914,1364.60101360857,1359.9971506301
43,1356.81103902666,1358.21731716957,1363.68614053652,1364.0650704988,1364.13011784742,1364.23182230142,1359.78330054952
44,1434.98650553437,1359.34256701214,1358.03895265365,1364.54936364468,1358.10699157252,1465.04440018752,1369.73510042303
45,1434.56086693963,279.49124619582,1364.29597225114,1364.70240904899,1359.98218700782,1364.61220179815,1359.63578115895
46,1423.76330437882,1429.03376261154,1375.31741892859,1364.21083563576,1361.75539556541,1363.83361992661,1364.52299387633
47,1365.47954768513,1364.97909522649,1365.77462652451,1364.65779002119,1358.57172611422,1358.9165184448,1428.83388398526
48,1357.90575352258,1357.43202580854,1359.93517766335,1364.52941767254,1363.82220512434,1364.24505754812,1364.78839428612
49,1363.99119367444,1364.64072499691,1364.72215657679,1364.69138617913,1359.92254316675,1364.66672158378,1362.09307444683
50,1451.69023600899,1362.53302499731,1359.93117775182,1364.47408771373,1394.3332326199,1459.23363617487,1440.99679213295
