Row,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50
FGFR4i,1.54986022360132,2.96547941781917,1.17319781755559,1.30758770981284,1.86595144781298,3.43390542123964,1.1516045802202,1.62669434663202,0.990938579406035,2.97741507779608,1.04773059497956,1.63039504113556,1.08682799138286,3.81980271228047,1.13885822133119,1.6964340860122,63.1258013944329,0.9726107615731,1.0301543389472,3.87347060603233,1.70030795753304,1.4828324411106,1.19239415240295,1.77092189960759,17.1835273037226,1.95143626520906,5.26332954990953,4.06708852789103,1.56202147688435,2.95789495911636,2.8911652755583,2.84798688518445,4.03210226939624,1.42764246114119,3.38200272311865,9.68412995894928,1.03472999929974,1.68973178756564,3.8930780009533,3.03072176785065,7.23488823567571,1.53679188610539,7.47546190669911,3.24498366102536,4.27274134069513,1.22068895132083,2.71237067527838,1.8280519656527,1.26617231751558,1.68011677455413
ERBBi,1.86060935311434,1.76941968039454,1.18569901522597,1.80514463145742,1.67422813285776,1.06342470642008,2.44802463935348,1.09068504743266,1.2989783581068,1.90114177808828,1.26260905111172,1.95853382328983,1.29925304072819,0.855288627333774,1.10102393469569,1.72519495178597,1.56562742925856,1.14694427997361,1.08085834664822,1.23300760263567,1.18218507834943,2.96206692905936,3.79001584486702,1.70900087570558,0.583061562969048,1.59282597867535,1.28697190201175,1.18403611557806,1.07262157165281,1.13508257919945,1.87365915176946,2.25758516862928,1.30519324182025,1.92581043392437,1.02403750455913,1.06699218062656,0.875010117133843,1.28233286123351,1.54431192247685,1.01948134477872,1.53952244957633,1.32992059625257,1.09125007829319,1.07308509272197,1.7095921152184,1.64798573273786,0.997549860706111,1.52031076555008,0.77344946149515,1.17258512283816
Akti,0.375630243701421,0.520703361693202,0.937778526070107,0.443742426314452,0.760428593021105,1.15344751280982,0.519998288685975,0.793948726404037,0.452969861535459,0.50494628563689,0.555835638703418,0.770745069492801,0.993868783022407,0.762219259999913,0.765788093185357,0.429142680375179,0.662169728428431,0.841728740130773,0.849395535288239,0.967149379012139,0.81152371295316,0.601990096218441,1.1222861786217,0.888156949568903,0.580410257225677,0.692671993885287,0.88970919464137,0.993793194824308,0.0486508594701381,0.0581726734394264,0.925480167954308,1.0215152383887,0.5474631057755,0.980962380667389,0.513371843128244,0.958986850876219,0.62431961589377,0.728093392497322,0.979885620786705,0.991883748103958,1.02780490759613,0.824311811107873,1.19265030560806,0.87073624328836,1.02772070984818,0.926055766683801,0.780155640916327,1.01635232590095,0.633724468939001,0.548531972407877
PDK1i,0.394343482277724,0.524289289624026,0.936637356238711,0.445890972000643,0.755832293116469,0.901410697177371,0.524254608712623,0.794453634593741,0.453115171538541,0.50057581421754,0.555826743916399,0.776296304892772,0.993837852449248,0.762148060975621,0.765330413218877,0.42971763741905,0.662165191600677,0.842259965734128,0.850784506530899,0.725365249142876,0.8114928889555,0.625567678909633,1.21954145692349,0.889850196555162,0.580301071720441,0.836639835211108,0.893557824854808,0.999359379024302,0.0522558263347,0.0536081974705657,0.92546599613669,1.0215559501067,0.464390839970877,0.988973839894713,0.575626933292229,0.804572244584439,0.624162456514172,0.728090095843338,0.979640115532215,0.979057869386861,1.05758013121858,0.825040318750096,0.943040313781294,0.719086130948758,1.03122933035538,0.926013205239352,0.776460141214143,1.01533943250974,0.633702539247184,0.552709385224606
IGFRi,1.01795436359702,1.02082057503489,1.06894181052758,1.01684229190816,1.02601701221678,1.01764789670112,1.01795120603304,1.0054308068497,1.02262314399359,1.01873553892694,1.01182091770297,1.01787543543907,1.02376062623387,1.00322963502894,1.03090579806621,1.01803603614502,1.0059172981761,1.03902734812854,1.0058982058711,1.02972291465082,0.990700678188556,1.04515350161002,1.0589508674599,0.983010934087478,1.03390003698924,1.13052164195821,1.01859499646112,1.01776997000851,1.033633265129,1.00539034571212,1.01218565787047,1.03437449737827,1.05214841580707,1.03538240731988,1.01782367907219,1.06108429029873,0.897260292961978,0.794074091150897,1.01780054588688,1.01150721816016,1.05332421312972,1.01145188726511,1.01169982786611,1.02201223789535,1.11520487291101,1.0315985273649,1.02400986058106,1.01801063467237,0.974691163367912,1.01826541093828
IRSi,1.02315131892283,1.07273624310328,1.17712735030678,1.09920230998915,1.02741707751793,1.05412471318634,1.01803538862761,1.04216034761091,1.04929611058495,1.06873062007532,1.03523091949745,1.0224219321121,1.04629614336821,1.03490874793269,1.04598377224536,1.064614217912,1.03567525114396,1.12863409063126,1.02460858994168,1.04118570726031,1.00320784428686,1.0565437058299,1.02105592249481,1.00203513061997,1.02575048157328,1.23567211245836,1.03517836891493,1.02338852291111,1.0216733145862,1.03262662120901,1.01362251673671,1.03664754297196,1.08606371617864,1.03869721486184,1.06853799868289,1.12126515841391,0.9520608437531,0.813973201545049,1.02247406526939,1.02223165556042,1.02379116346367,1.05192720515512,1.02414554631078,1.02831899771328,1.03498901205359,1.17579762175681,1.0225461596676,1.02236142210627,0.976842262176879,1.03405702626951
Cbli,1.16075611438737,1.0174339717289,NaN,1.01744425550522,0.993495944407748,3.07821196777482,1.0174451850564,1.38551177313779,1.04999431593831,1.01739596224673,NaN,1.14020813325668,1.00484198815324,1.24032058369874,526783.736666232,16189.4106481567,1.02374434738304,0.94157673419908,1557377.03763704,1.20977361991642,1.01676682643269,1.24880702581229,1.01744632846727,0.981448520229965,1.35293947350278,1.22814136951282,1.08027692386949,1.01844390363608,1.1343293888722,1.40642414291477,1.01737890801318,1.01744733629887,1.22378347531559,22651.00736179,1.9791045834871,1.24256668456075,1.11100842983013,1.18446678214408,1.61474507569045,2.91262096760335,1.70972651556604,23353.5963369982,1.39460265895035,1.74509470775387,2.02571553938125,4.2218988142332,1.11201441478668,85.244512363261,0.747387292322455,1.6765247790635
Sosi,1.09251249228152,1.01748296651794,1.01867974231897,1.01744568909714,1.01965171846101,1.01744778221996,1.01744597513494,1.01744590097901,1.01753713280372,1.0174469493488,1.0174827432499,1.02704234693303,1.01804432378689,1.20961565689037,1.01744854309207,1.01754419871272,1.01757802588678,1.02210064265591,1.01835035370807,1.01744589396863,1.01744597572835,1.01762717207706,1.01744588722685,1.0174482785624,1.01748126775404,1.01747504242738,1.02186045968833,1.01744589462248,1.01744617872374,1.01744569222652,2.15335925172896,1.01744771819776,1.01746541417742,1.01744594776449,1.01744585892888,1.01744632239856,2.89110198577474,1.14472292318952,1.01766912360519,1.01767230481253,1.01755075111265,1.0231515689307,1.01905645662083,1.01764402407376,1.01744585774757,1.01744602039727,1.0222104145919,1.01948581012674,1.01744785820656,1.01744665938518
PI3Ki,0.0471797584107534,0.1916932855101,0.537089440194617,0.0984792551603483,0.789517839996314,0.437053598582252,0.318639969407384,0.476261346103464,0.242545760452567,0.218063692869661,0.339679628183899,0.236967718242987,0.993859159269365,0.769294199644327,0.247963919894918,0.0771530283708732,0.62534626232483,0.842959980717175,0.860566597916661,0.076820269109642,0.815714467853401,0.230059392270078,0.0358864286697234,0.965302597855033,0.58051389887206,0.533577198828486,0.873565062852492,0.83739352908136,0.0242738958600415,0.0275475441080624,0.879907450251236,1.02748230797522,0.0710275182745439,1.03453408990124,0.378993214266844,0.414674861092728,0.624237598701318,0.728126396362135,1.43830108899127,0.76617320414487,1.7152885484136,0.494968731021689,0.746785740851433,0.383257247004677,1.98259083062245,0.985190813945914,0.716273088384706,1.52551804594226,0.393532987240957,0.0616285807443194
mTORC1i,1.05980977908339,1.08524063311882,1.20237735563896,1.08594019657914,1.08196069057637,1.02285228054494,1.01790573479447,1.05162077345401,1.05949011375924,1.06040873330417,1.03026021704718,1.13904983159413,1.02295000770841,1.10424503802627,1.03824408859834,1.1334647730334,1.11566079368238,1.24856431737225,1.16130554438106,1.03784425188484,1.01760958380373,1.73427441304842,1.12254468747325,1.01772978877868,1.03088185397519,1.01749394610235,1.02018054514715,1.01608986432591,1.04016295129573,1.02619259130757,1.07624818404794,1.0234538171637,1.55253651821177,1.03382223996864,1.01966345178601,1.0377640229173,1.01737685436348,1.03922915702316,1.53106823060035,1.01797039019206,1.27607521225794,1.09651439566565,1.02285671634804,1.02037129395512,1.03133680244716,1.03342450729343,1.45205563392114,1.04072308772469,1.01744761635707,1.03765784208868
