Row,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50
FGFR4i,4.27274134069513,1.42764246114119,3.8930780009533,1.54986022360132,1.1516045802202,1.63039504113556,1.68011677455413,2.96547941781917,1.17319781755559,1.30758770981284,2.97741507779608,1.6964340860122,5.26332954990953,4.06708852789103,1.86595144781298,1.08682799138286,1.13885822133119,1.4828324411106,0.990938579406035,0.9726107615731,1.0301543389472,1.70030795753304,1.56202147688435,3.38200272311865,1.53679188610539,2.71237067527838,3.43390542123964,1.04773059497956,3.81980271228047,1.19239415240295,2.95789495911636,1.03472999929974,3.03072176785065,1.22068895132083,1.77092189960759,17.1835273037226,2.8911652755583,2.84798688518445,4.03210226939624,1.68973178756564,7.23488823567571,7.47546190669911,3.24498366102536,1.26617231751558,1.95143626520906,9.68412995894928,1.8280519656527,1.62669434663202,63.1258013944329,3.87347060603233
ERBBi,1.7095921152184,1.92581043392437,1.54431192247685,1.86060935311434,2.44802463935348,1.95853382328983,1.17258512283816,1.76941968039454,1.18569901522597,1.80514463145742,1.90114177808828,1.72519495178597,1.28697190201175,1.18403611557806,1.67422813285776,1.29925304072819,1.10102393469569,2.96206692905936,1.2989783581068,1.14694427997361,1.08085834664822,1.18218507834943,1.07262157165281,1.02403750455913,1.32992059625257,0.997549860706111,1.06342470642008,1.26260905111172,0.855288627333774,3.79001584486702,1.13508257919945,0.875010117133843,1.01948134477872,1.64798573273786,1.70900087570558,0.583061562969048,1.87365915176946,2.25758516862928,1.30519324182025,1.28233286123351,1.53952244957633,1.09125007829319,1.07308509272197,0.77344946149515,1.59282597867535,1.06699218062656,1.52031076555008,1.09068504743266,1.56562742925856,1.23300760263567
Akti,1.02772070984818,0.980962380667389,0.979885620786705,0.375630243701421,0.519998288685975,0.770745069492801,0.548531972407877,0.520703361693202,0.937778526070107,0.443742426314452,0.50494628563689,0.429142680375179,0.88970919464137,0.993793194824308,0.760428593021105,0.993868783022407,0.765788093185357,0.601990096218441,0.452969861535459,0.841728740130773,0.849395535288239,0.81152371295316,0.0486508594701381,0.513371843128244,0.824311811107873,0.780155640916327,1.15344751280982,0.555835638703418,0.762219259999913,1.1222861786217,0.0581726734394264,0.62431961589377,0.991883748103958,0.926055766683801,0.888156949568903,0.580410257225677,0.925480167954308,1.0215152383887,0.5474631057755,0.728093392497322,1.02780490759613,1.19265030560806,0.87073624328836,0.633724468939001,0.692671993885287,0.958986850876219,1.01635232590095,0.793948726404037,0.662169728428431,0.967149379012139
PDK1i,1.03122933035538,0.988973839894713,0.979640115532215,0.394343482277724,0.524254608712623,0.776296304892772,0.552709385224606,0.524289289624026,0.936637356238711,0.445890972000643,0.50057581421754,0.42971763741905,0.893557824854808,0.999359379024302,0.755832293116469,0.993837852449248,0.765330413218877,0.625567678909633,0.453115171538541,0.842259965734128,0.850784506530899,0.8114928889555,0.0522558263347,0.575626933292229,0.825040318750096,0.776460141214143,0.901410697177371,0.555826743916399,0.762148060975621,1.21954145692349,0.0536081974705657,0.624162456514172,0.979057869386861,0.926013205239352,0.889850196555162,0.580301071720441,0.92546599613669,1.0215559501067,0.464390839970877,0.728090095843338,1.05758013121858,0.943040313781294,0.719086130948758,0.633702539247184,0.836639835211108,0.804572244584439,1.01533943250974,0.794453634593741,0.662165191600677,0.725365249142876
IGFRi,1.11520487291101,1.03538240731988,1.01780054588688,1.01795436359702,1.01795120603304,1.01787543543907,1.01826541093828,1.02082057503489,1.06894181052758,1.01684229190816,1.01873553892694,1.01803603614502,1.01859499646112,1.01776997000851,1.02601701221678,1.02376062623387,1.03090579806621,1.04515350161002,1.02262314399359,1.03902734812854,1.0058982058711,0.990700678188556,1.033633265129,1.01782367907219,1.01145188726511,1.02400986058106,1.01764789670112,1.01182091770297,1.00322963502894,1.0589508674599,1.00539034571212,0.897260292961978,1.01150721816016,1.0315985273649,0.983010934087478,1.03390003698924,1.01218565787047,1.03437449737827,1.05214841580707,0.794074091150897,1.05332421312972,1.01169982786611,1.02201223789535,0.974691163367912,1.13052164195821,1.06108429029873,1.01801063467237,1.0054308068497,1.0059172981761,1.02972291465082
IRSi,1.03498901205359,1.03869721486184,1.02247406526939,1.02315131892283,1.01803538862761,1.0224219321121,1.03405702626951,1.07273624310328,1.17712735030678,1.09920230998915,1.06873062007532,1.064614217912,1.03517836891493,1.02338852291111,1.02741707751793,1.04629614336821,1.04598377224536,1.0565437058299,1.04929611058495,1.12863409063126,1.02460858994168,1.00320784428686,1.0216733145862,1.06853799868289,1.05192720515512,1.0225461596676,1.05412471318634,1.03523091949745,1.03490874793269,1.02105592249481,1.03262662120901,0.9520608437531,1.02223165556042,1.17579762175681,1.00203513061997,1.02575048157328,1.01362251673671,1.03664754297196,1.08606371617864,0.813973201545049,1.02379116346367,1.02414554631078,1.02831899771328,0.976842262176879,1.23567211245836,1.12126515841391,1.02236142210627,1.04216034761091,1.03567525114396,1.04118570726031
Cbli,2.02571553938125,22651.00736179,1.61474507569045,1.16075611438737,1.0174451850564,1.14020813325668,1.6765247790635,1.0174339717289,NaN,1.01744425550522,1.01739596224673,16189.4106481567,1.08027692386949,1.01844390363608,0.993495944407748,1.00484198815324,526783.736666232,1.24880702581229,1.04999431593831,0.94157673419908,1557377.03763704,1.01676682643269,1.1343293888722,1.9791045834871,23353.5963369982,1.11201441478668,3.07821196777482,NaN,1.24032058369874,1.01744632846727,1.40642414291477,1.11100842983013,2.91262096760335,4.2218988142332,0.981448520229965,1.35293947350278,1.01737890801318,1.01744733629887,1.22378347531559,1.18446678214408,1.70972651556604,1.39460265895035,1.74509470775387,0.747387292322455,1.22814136951282,1.24256668456075,85.244512363261,1.38551177313779,1.02374434738304,1.20977361991642
Sosi,1.01744585774757,1.01744594776449,1.01766912360519,1.09251249228152,1.01744597513494,1.02704234693303,1.01744665938518,1.01748296651794,1.01867974231897,1.01744568909714,1.0174469493488,1.01754419871272,1.02186045968833,1.01744589462248,1.01965171846101,1.01804432378689,1.01744854309207,1.01762717207706,1.01753713280372,1.02210064265591,1.01835035370807,1.01744597572835,1.01744617872374,1.01744585892888,1.0231515689307,1.0222104145919,1.01744778221996,1.0174827432499,1.20961565689037,1.01744588722685,1.01744569222652,2.89110198577474,1.01767230481253,1.01744602039727,1.0174482785624,1.01748126775404,2.15335925172896,1.01744771819776,1.01746541417742,1.14472292318952,1.01755075111265,1.01905645662083,1.01764402407376,1.01744785820656,1.01747504242738,1.01744632239856,1.01948581012674,1.01744590097901,1.01757802588678,1.01744589396863
PI3Ki,1.98259083062245,1.03453408990124,1.43830108899127,0.0471797584107534,0.318639969407384,0.236967718242987,0.0616285807443194,0.1916932855101,0.537089440194617,0.0984792551603483,0.218063692869661,0.0771530283708732,0.873565062852492,0.83739352908136,0.789517839996314,0.993859159269365,0.247963919894918,0.230059392270078,0.242545760452567,0.842959980717175,0.860566597916661,0.815714467853401,0.0242738958600415,0.378993214266844,0.494968731021689,0.716273088384706,0.437053598582252,0.339679628183899,0.769294199644327,0.0358864286697234,0.0275475441080624,0.624237598701318,0.76617320414487,0.985190813945914,0.965302597855033,0.58051389887206,0.879907450251236,1.02748230797522,0.0710275182745439,0.728126396362135,1.7152885484136,0.746785740851433,0.383257247004677,0.393532987240957,0.533577198828486,0.414674861092728,1.52551804594226,0.476261346103464,0.62534626232483,0.076820269109642
mTORC1i,1.03133680244716,1.03382223996864,1.53106823060035,1.05980977908339,1.01790573479447,1.13904983159413,1.03765784208868,1.08524063311882,1.20237735563896,1.08594019657914,1.06040873330417,1.1334647730334,1.02018054514715,1.01608986432591,1.08196069057637,1.02295000770841,1.03824408859834,1.73427441304842,1.05949011375924,1.24856431737225,1.16130554438106,1.01760958380373,1.04016295129573,1.01966345178601,1.09651439566565,1.45205563392114,1.02285228054494,1.03026021704718,1.10424503802627,1.12254468747325,1.02619259130757,1.01737685436348,1.01797039019206,1.03342450729343,1.01772978877868,1.03088185397519,1.07624818404794,1.0234538171637,1.55253651821177,1.03922915702316,1.27607521225794,1.02285671634804,1.02037129395512,1.01744761635707,1.01749394610235,1.0377640229173,1.04072308772469,1.05162077345401,1.11566079368238,1.03784425188484
GAB2i,1.01744586531505,1.01762864224584,1.0174458551218,1.01744585464768,1.01744671309578,1.01744585542894,1.0174458550518,1.01744589370104,1.01660500500269,1.01745807813269,1.01744678092933,1.01870251978743,1.01744585543115,1.01827152868481,1.01744585563522,1.01619704393631,1.0174458644312,1.01768496524489,1.01381596098301,1.01776695087775,1.01744585533469,1.01744700896447,1.01876147763351,1.01745046150113,1.01746591285902,1.01744586006086,1.01744639819314,1.01791397152479,1.01744644714467,1.01748301489522,1.01744374716006,1.01744670848935,1.01806003265505,1.01964257911892,1.01744653414137,1.01746786875855,1.02974165298983,1.01744611233588,1.01744586094454,1.01744235275463,1.01752256875926,1.02221971378161,1.01744566458975,1.01744790245212,1.01744027295752,1.02991626692344,1.01744622101747,1.01749517243557,1.02024747380585,1.01744697513438
GAB1i,2.5807971452096,2.33135354967028,2.54932741258976,0.0638651616288394,0.451281755753418,0.291641930405663,0.0734547593051783,0.151661121627702,0.587226337252485,0.163196841631514,0.180752412820158,0.143338009720125,1.41675948392932,0.912096812951557,2.52795228237766,1.01744056125907,0.195598044314781,0.270789922146429,0.290821727400552,1.18867562512029,0.997873814195987,1.3514818294016,0.0279350220403344,0.586604679323353,0.58343773042437,0.901874307165213,0.458670744821283,0.406361797900262,1.11383105274422,0.0479970422919056,0.0346045586637425,1.09408090383294,0.80025681873127,1.04740348076962,3.77368010637933,2.26692139697455,0.939991550935253,1.25400260499084,0.178697725797162,1.18386141055858,2.3716381945702,0.809344818578958,0.412750043393339,0.582554449484905,0.999034649210364,0.45400332615322,2.71004830831539,0.491952663558571,1.14207050536856,0.161782570540724
S6Ki,1.66439733981077,1.01764116700705,1.11782364130682,1.70611166725061,1.9126019714994,1.86769444626827,1.39946367734197,1.45599780859329,1.46177339710214,1.56939805985904,1.36856411497374,1.70714856960086,1.20115991585268,1.02073753518025,1.3213077232468,1.13722180893161,2.65911940704253,1.36846526165821,1.06778381641748,1.88726487826784,1.34761355129222,1.01800276551213,1.17728653612965,1.03597798292443,1.25642302711664,1.05365077144534,1.10257478743387,1.08367022631661,1.39699477556884,2.33590784594429,1.08575858459965,1.06902230908589,1.01751349107275,1.08578314986971,1.01790099483257,2.94204359237265,1.07528685382868,1.09559542931751,1.01787099252415,1.08174133304758,1.34579788296012,1.04779379867268,1.0106338221992,1.02604693970787,1.01770060609733,1.18601661477967,1.24292465333189,1.05880147952783,1.02019461412789,1.09816173666249
